Candidate,Time,Value
No candidate mentioned,21:35,-18
Rand Paul,21:35,0
Ted Cruz,21:35,0
Ben Carson,21:36,-1
Chris Christie,21:36,-2
Donald Trump,21:36,4
Jeb Bush,21:36,-7
John Kasich,21:36,2
Mike Huckabee,21:36,-1
No candidate mentioned,21:36,-15
Rand Paul,21:36,-1
Scott Walker,21:36,0
Ted Cruz,21:36,-1
Ben Carson,21:37,2
Chris Christie,21:37,-1
Donald Trump,21:37,4
Jeb Bush,21:37,-2
Mike Huckabee,21:37,-1
No candidate mentioned,21:37,-20
Ted Cruz,21:37,-3
Chris Christie,21:38,-1
Donald Trump,21:38,0
Jeb Bush,21:38,-1
John Kasich,21:38,0
No candidate mentioned,21:38,-16
Rand Paul,21:38,-3
Scott Walker,21:38,-1
Ted Cruz,21:38,-2
Ben Carson,21:39,0
Donald Trump,21:39,-7
Jeb Bush,21:39,-3
John Kasich,21:39,1
No candidate mentioned,21:39,-24
Ted Cruz,21:39,-1
Donald Trump,21:40,-5
John Kasich,21:40,-1
No candidate mentioned,21:40,-22
Rand Paul,21:40,-1
Scott Walker,21:40,-2
Ted Cruz,21:40,-3
Ben Carson,21:41,-1
Donald Trump,21:41,1
Jeb Bush,21:41,-2
No candidate mentioned,21:41,-14
Ted Cruz,21:41,-7
Ben Carson,21:42,-2
Donald Trump,21:42,2
Jeb Bush,21:42,-3
No candidate mentioned,21:42,-16
Ted Cruz,21:42,-2
Ben Carson,21:43,3
Chris Christie,21:43,-1
Donald Trump,21:43,-3
Jeb Bush,21:43,-4
Mike Huckabee,21:43,-1
No candidate mentioned,21:43,-19
Rand Paul,21:43,0
Scott Walker,21:43,-2
Ted Cruz,21:43,-4
Ben Carson,21:44,-1
Chris Christie,21:44,-1
Donald Trump,21:44,-1
Jeb Bush,21:44,-3
Mike Huckabee,21:44,-8
No candidate mentioned,21:44,-20
Scott Walker,21:44,-2
Ted Cruz,21:44,1
Ben Carson,21:45,-4
Chris Christie,21:45,-1
Donald Trump,21:45,-6
Jeb Bush,21:45,-4
Mike Huckabee,21:45,-19
No candidate mentioned,21:45,-14
Rand Paul,21:45,-1
Scott Walker,21:45,-1
Ted Cruz,21:45,-1
Ben Carson,21:46,0
Donald Trump,21:46,0
Jeb Bush,21:46,-4
Mike Huckabee,21:46,-10
No candidate mentioned,21:46,-11
Rand Paul,21:46,-1
Ted Cruz,21:46,1
Ben Carson,21:47,0
Chris Christie,21:47,-2
Donald Trump,21:47,-4
Marco Rubio,21:47,1
Mike Huckabee,21:47,-4
No candidate mentioned,21:47,-20
Ted Cruz,21:47,0
Ben Carson,21:48,2
Chris Christie,21:48,-1
Donald Trump,21:48,1
Jeb Bush,21:48,-1
Mike Huckabee,21:48,-5
No candidate mentioned,21:48,-28
Rand Paul,21:48,2
Scott Walker,21:48,-1
Ted Cruz,21:48,-2
Ben Carson,21:49,-1
Donald Trump,21:49,-3
Jeb Bush,21:49,-2
Mike Huckabee,21:49,-2
No candidate mentioned,21:49,-31
Rand Paul,21:49,1
Ted Cruz,21:49,-3
Ben Carson,21:50,-1
Chris Christie,21:50,-2
Donald Trump,21:50,-3
Jeb Bush,21:50,-1
No candidate mentioned,21:50,-12
Scott Walker,21:50,-1
Ted Cruz,21:50,1
Chris Christie,21:51,-1
Donald Trump,21:51,-2
Jeb Bush,21:51,-1
John Kasich,21:51,-1
No candidate mentioned,21:51,-29
Scott Walker,21:51,-1
Ted Cruz,21:51,-1
Chris Christie,21:52,0
Donald Trump,21:52,-1
John Kasich,21:52,0
Mike Huckabee,21:52,-4
No candidate mentioned,21:52,-37
Ted Cruz,21:52,-3
Donald Trump,21:53,-2
Jeb Bush,21:53,-2
John Kasich,21:53,1
Mike Huckabee,21:53,0
No candidate mentioned,21:53,-28
Ted Cruz,21:53,-2
Donald Trump,21:54,0
Jeb Bush,21:54,-3
John Kasich,21:54,4
Mike Huckabee,21:54,-3
No candidate mentioned,21:54,-24
Scott Walker,21:54,-2
Ted Cruz,21:54,1
Donald Trump,21:55,0
Jeb Bush,21:55,-3
No candidate mentioned,21:55,-22
Scott Walker,21:55,-4
Ted Cruz,21:55,-2
Ben Carson,21:56,-1
Chris Christie,21:56,-1
Donald Trump,21:56,-1
Jeb Bush,21:56,-4
John Kasich,21:56,0
Marco Rubio,21:56,-8
Mike Huckabee,21:56,-3
No candidate mentioned,21:56,-26
Scott Walker,21:56,-1
Ted Cruz,21:56,-2
Ben Carson,21:57,2
Chris Christie,21:57,-1
Donald Trump,21:57,-3
Jeb Bush,21:57,-3
John Kasich,21:57,-1
Marco Rubio,21:57,-1
Mike Huckabee,21:57,-1
No candidate mentioned,21:57,-17
Scott Walker,21:57,0
Ted Cruz,21:57,-2
Ben Carson,21:58,-6
Donald Trump,21:58,0
John Kasich,21:58,2
No candidate mentioned,21:58,-14
Scott Walker,21:58,-3
Ted Cruz,21:58,-3
Ben Carson,21:59,2
Chris Christie,21:59,-3
Donald Trump,21:59,-1
Jeb Bush,21:59,0
No candidate mentioned,21:59,-18
Rand Paul,21:59,-3
Scott Walker,21:59,-2
Ted Cruz,21:59,-3
Ben Carson,22:00,-5
Chris Christie,22:00,0
Donald Trump,22:00,-1
Jeb Bush,22:00,-1
John Kasich,22:00,0
Marco Rubio,22:00,-2
No candidate mentioned,22:00,-12
Rand Paul,22:00,-2
Ben Carson,22:01,-2
Chris Christie,22:01,0
Donald Trump,22:01,-3
Jeb Bush,22:01,-2
John Kasich,22:01,1
Marco Rubio,22:01,0
Mike Huckabee,22:01,0
No candidate mentioned,22:01,-21
Rand Paul,22:01,-1
Ted Cruz,22:01,0
Ben Carson,22:02,0
Chris Christie,22:02,-2
Donald Trump,22:02,0
Jeb Bush,22:02,-4
Mike Huckabee,22:02,-2
No candidate mentioned,22:02,-13
Scott Walker,22:02,-1
Ted Cruz,22:02,-1
Ben Carson,22:03,0
Chris Christie,22:03,-1
Jeb Bush,22:03,-2
John Kasich,22:03,-1
Marco Rubio,22:03,-1
No candidate mentioned,22:03,-10
Ted Cruz,22:03,-1
Ben Carson,22:04,2
Donald Trump,22:04,-1
Jeb Bush,22:04,-4
John Kasich,22:04,-2
Marco Rubio,22:04,0
Mike Huckabee,22:04,-2
No candidate mentioned,22:04,-10
Rand Paul,22:04,-1
Scott Walker,22:04,0
Ted Cruz,22:04,-1
Ben Carson,22:05,1
Chris Christie,22:05,1
Donald Trump,22:05,-2
Jeb Bush,22:05,-5
Marco Rubio,22:05,-1
Mike Huckabee,22:05,-1
No candidate mentioned,22:05,-13
Rand Paul,22:05,-1
Ted Cruz,22:05,2
Ben Carson,22:06,2
Donald Trump,22:06,-1
Jeb Bush,22:06,-6
John Kasich,22:06,2
No candidate mentioned,22:06,-10
Rand Paul,22:06,-1
Ben Carson,22:07,1
Donald Trump,22:07,-4
Jeb Bush,22:07,-1
Mike Huckabee,22:07,-1
No candidate mentioned,22:07,-13
Rand Paul,22:07,-1
Ted Cruz,22:07,1
Ben Carson,22:08,1
Jeb Bush,22:08,-1
No candidate mentioned,22:08,-12
Ted Cruz,22:08,-1
Ben Carson,22:09,3
Donald Trump,22:09,0
Jeb Bush,22:09,-3
Mike Huckabee,22:09,1
No candidate mentioned,22:09,-10
Ted Cruz,22:09,-1
Ben Carson,22:10,0
Donald Trump,22:10,-3
John Kasich,22:10,-1
